Variable,Coeff
Intercept,(1.6226)
Height_Ft,0.0017 
Area_1000,0.0049 
Env_1000_Area_Height,0.0002 
Bldg_SqFt_1000,(0.0023)
Res_Dummy,(0.8231)
Historic,(1.0378)
Const_Costs_Real,(0.0992)
Zillow_Price_Real,0.0143 
SDB_2016_5Plus,0.6303 
zp_OfficeComm,4.2634 
zp_DRMulti_RTO,4.2450 
zp_FBDMulti_RTO,5.0508 
zp_PDRInd,3.4115 
zp_Public,1.2491 
zp_Redev,4.5361 
zp_RH2,0.2674 
zp_RH3_RM1,1.3187 
DIST_SBayshore,(1.4824)
DIST_BernalHts,(1.7011)
DIST_Scentral,(1.7307)
DIST_Central,(1.1523)
DIST_BuenaVista,(2.5369)
DIST_Northeast,(1.4171)
DIST_WestAddition,(0.6831)
DIST_SOMA,(0.0756)
DIST_InnerSunset,(1.6187)
DIST_Richmond,(2.8019)
DIST_Ingleside,(1.8670)
DIST_OuterSunset,(2.6147)
DIST_Marina,(1.2492)
DIST_Mission,(1.0938)